municipality,iata_code,coordinates
Port Mcneill,YMP,"-127.028999329, 50.5755996704"
Moosonee,YMO,"-80.60780334472656, 51.291099548339844"
Makkovik,YMN,"-59.1864013671875, 55.076900482177734"
Fort McMurray,YMM,"-111.222000122, 56.653301239"
Charlevoix,YML,"-70.2238998413086, 47.59749984741211"
Mys Kamennyi,YMK,"73.5670013428, 68.483001709"
Moose Jaw,YMJ,"-105.55899810791016, 50.330299377441406"
Mary's Harbour,YMH,"-55.847198486328125, 52.302799224853516"
Manitouwadge,YMG,"-85.86060333251953, 49.083900451660156"
Matane,YME,"-67.45330047607422, 48.85689926147461"
Prince Patrick Is.,YMD,"-119.3216, 76.2392"
Merritt,YMB,"-120.747001648, 50.122798919699996"
Mayo,YMA,"-135.8679962158203, 63.61640167236328"
Langley,YLY,"-122.630996704, 49.10079956049999"
Kelowna,YLW,"-119.377998352, 49.9561004639"
Yevlakh,YLV,"47.141899, 40.631901"
Alert,YLT,"-62.2806015015, 82.51779937740001"
Lebel-sur-QuÃ©villon,YLS,"-77.0171966553, 49.0303001404"
Leaf Rapids,YLR,"-99.98529815673828, 56.513301849365234"
La Tuque,YLQ,"-72.7889022827, 47.4096984863"
Mingan,YLP,"-64.1528, 50.2869"
Clinton Creek Mine,YLM,"-140.741748, 64.475545"
Lloydminster,YLL,"-110.072998046875, 53.309200286865234"
Barrie-Orillia,YLK,"-79.55560302730001, 44.4852981567"
Meadow Lake,YLJ,"-108.52300262451172, 54.125301361083984"
,YLI,"24.7252778, 64.0547222"
Lansdowne House,YLH,"-87.93419647216797, 52.19559860229492"
Yalgoo,YLG,"116.683998108, -28.355300903299998"
WhatÃ¬,YLE,"-117.24600219726562, 63.13169860839844"
Chapleau,YLD,"-83.3467025756836, 47.81999969482422"
Kimmirut,YLC,"-69.88330078119999, 62.8499984741"
Lac La Biche,YLB,"-112.031997681, 54.7703018188"
Toronto,YKZ,"-79.37000274658203, 43.86220169067383"
Kindersley,YKY,"-109.180999756, 51.5175018311"
Kirkland Lake,YKX,"-79.98139953613281, 48.21030044555664"
Chisasibi,YKU,"-78.91690063476562, 53.805599212646484"
Klemtu,YKT,"-128.521757126, 52.6076345452"
Yakutsk,YKS,"129.77099609375, 62.093299865722656"
Waskaganish,YKQ,"-78.75830078125, 51.47330093383789"
Hakkari,YKO,"44.2381, 37.5497"
Yankton,YKN,"-97.385902404785, 42.916698455811"
Yakima,YKM,"-120.5439987, 46.56819916"
Schefferville,YKL,"-66.8052978515625, 54.805301666259766"
Kitkatla,YKK,"-130.432998657, 53.7999992371"
Key Lake,YKJ,"-105.61799621582031, 57.256099700927734"
Yingkou,YKH,"122.3586, 40.542524"
Kangirsuk,YKG,"-69.99919891357422, 60.027198791503906"
Kitchener,YKF,"-80.3786010742, 43.460800170899994"
Knee Lake,YKE,"-94.798103, 54.915298"
Kincardine,YKD,"-81.606697, 44.201401"
Collins Bay,YKC,"-103.678001404, 58.236099243199995"
Kamloops,YKA,"-120.444000244, 50.7022018433"
Stephenville,YJT,"-58.54999923706055, 48.5442008972168"
SamjiyÅn,YJS,"128.409834, 41.907132"
Hinton,YJP,"-117.752998352, 53.3191986084"
St Jean,YJN,"-73.28109741210938, 45.29439926147461"
Fort Liard,YJF,"-123.46900177, 60.235801696799996"
Jasper,YJA,"-118.058998, 52.9967"
Yiwu,YIW,"120.031997681, 29.3446998596"
Island Lake,YIV,"-94.65360260009766, 53.857200622558594"
Detroit,YIP,"-83.53040314, 42.23789978"
Pond Inlet,YIO,"-77.9666976929, 72.6832962036"
Yining,YIN,"81.330299, 43.955799"
Ivujivik,YIK,"-77.92530059814453, 62.417301177978516"
Yichang,YIH,"111.479988, 30.55655"
Stuart Island,YIG,"-125.1372, 50.3923"
St-Augustin,YIF,"-58.6582984924, 51.2117004395"
Arxan,YIE,"119.9117, 47.3106"
Yichun,YIC,"114.3062, 27.8025"
Atikokan,YIB,"-91.6386032104, 48.7738990784"
Yogyakarta,YIA,"110.057264, -7.905338"
Halifax,YHZ,"-63.5085983276, 44.8807983398"
Hay River,YHY,"-115.782997131, 60.8396987915"
MontrÃ©al,YHU,"-73.4169006348, 45.5175018311"
Haines Junction,YHT,"-137.54600524902344, 60.78919982910156"
Sechelt,YHS,"-123.71900177, 49.460601806599996"
Chevery,YHR,"-59.63669967651367, 50.46889877319336"
Poplar Hill,YHP,"-94.2556, 52.1133"
Hopedale,YHO,"-60.228599548339844, 55.448299407958984"
Hornepayne,YHN,"-84.75890350341797, 49.19309997558594"
Hamilton,YHM,"-79.93499755859999, 43.173599243199995"
Gjoa Haven,YHK,"-95.84970092770001, 68.635597229"
Ulukhaktok,YHI,"-117.80599975585938, 70.76280212402344"
Campbell River,YHH,"-125.25, 50.049999"
Hearst,YHF,"-83.68609619140625, 49.71419906616211"
Hope,YHE,"-121.498001099, 49.3683013916"
Dryden,YHD,"-92.744202, 49.831699"
Hudson Bay,YHB,"-102.310997009, 52.8166999817"
Port Hope Simpson,YHA,"-56.28609848022461, 52.528099060058594"
Grise Fiord,YGZ,"-82.90920257570001, 76.4261016846"
,YGY,"-74.554681778, 62.112314446199996"
Gillam,YGX,"-94.71060180664062, 56.35749816894531"
Kuujjuarapik,YGW,"-77.76529693603516, 55.281898498535156"
Havre St-Pierre,YGV,"-63.61140060424805, 50.281898498535156"
Igloolik,YGT,"-81.8161010742, 69.3647003174"
Ãles-de-la-Madeleine,YGR,"-61.778099060058594, 47.42470169067383"
Geraldton,YGQ,"-86.93939971923828, 49.77830123901367"
GaspÃ©,YGP,"-64.4785995483, 48.7752990723"
Gods Lake Narrows,YGO,"-94.49140167236328, 54.55889892578125"
Broughton Island,YGN,"-126.775, 50.839"
Gimli,YGM,"-97.04329681396484, 50.62810134887695"
La Grande RiviÃ¨re,YGL,"-77.7042007446289, 53.625301361083984"
